127.0.0.1 - - [12/Jan/2026 15:24:14] "HEAD /lib/ffmpeg/ffmpeg-core.worker.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/ffmpeg/ffmpeg.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/mespeak/mespeak.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/lame.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /script.v12.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/mespeak/mespeak-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /_headers HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /cheatsheet.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/mespeak/mespeak_config.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/mespeak/voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/mespeak//voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/ffmpeg/ffmpeg-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:18] "GET /lib/ffmpeg/ffmpeg-core.wasm HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:19] "GET /lib/ffmpeg/ffmpeg-core.worker.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:20] "GET /sw.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /lib/lame.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /lib/mespeak/mespeak.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /lib/ffmpeg/ffmpeg.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /script.v12.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:41] code 404, message File not found
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Jan/2026 15:24:41] code 404, message File not found
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /lib/ffmpeg/ffmpeg.min.js.map HTTP/1.1" 404 -
127.0.0.1 - - [12/Jan/2026 15:24:41] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:42] "GET /script.v12.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2026 15:24:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:42] "GET /_headers HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:24:42] "GET /cheatsheet.html HTTP/1.1" 200 -
